PERCY, CHARLES, 97 98, S, IL, M
ALLEN, GEORGE, 102 107 108 109, H, VA, M
BLACKWELL, LUCIEN, 102 103, H, PA, M
COLORADO, ANTONIO, 102, H, PR, M
JOHNSON, SAM, 102 103 104 105 106 107 108 109 110 111 112 113 114, H, TX, M
BURDICK, JOCELYN, 102, S, ND, F
ANDREWS, THOMAS, 102 103, H, ME, M
COX, JOHN, 102, H, IL, M
EDWARDS, THOMAS, 102 103 104 105 106 107 108 109 110 111, H, TX, M
TAYLOR, CHARLES, 102 103 104 105 106 107 108 109, H, NC, M
ANDREWS, ROBERT, 102 103 104 105 106 107 108 109 110 111 112 113, H, NJ, M
COLLINS, BARBARA-ROSE, 102 103 104, H, MI, F
PETERSON, DOUGLAS, 102 103 104, H, FL, M
PETERSON, COLLIN, 102 103 104 105 106 107 108 109 110 111 112 113 114, H, MN, M
HORN, STEPHEN, 103 104 105 106 107, H, CA, M
UNDERWOOD, ROBERT, 103 104 105 106 107, H, GU, M
CRAPO, MICHAEL, 103 104 105 106 107 108 109 110 111 112 113 114, H, ID, M
KIM, JAY, 103 104 105, H, CA, M
LINDER, JOHN, 103 104 105 106 107 108 109 110 111, H, GA, M
ISTOOK, ERNEST, 103 104 105 106 107 108 109, H, OK, M
MANZULLO, DONALD, 103 104 105 106 107 108 109 110 111 112, H, IL, M
VELAZQUEZ, NYDIA, 103 104 105 106 107 108 109 110 111 112 113 114, H, NY, F
BACHUS, SPENCER, 103 104 105 106 107 108 109 110 111 112 113, H, AL, M
DEUTSCH, PETER, 103 104 105 106 107 108, H, FL, M
BARTLETT, ROSCOE, 103 104 105 106 107 108 109 110 111 112, H, MD, M
HUFFINGTON, MICHAEL, 103, H, CA, M
HINCHEY, MAURICE, 103 104 105 106 107 108 109 110 111 112, H, NY, M
CANTWELL, MARIA, 103 107 108 109 110 111 112 113 114, H, WA, F
CLAYTON, EVA, 103 104 105 106 107, H, NC, F
MCHALE, PAUL, 103 104 105, H, PA, M
REYNOLDS, MEL, 103, H, IL, M
MCINNIS, SCOTT, 103 104 105 106 107 108, H, CO, M
KEMPTHORNE, DIRK, 103 104 105, S, ID, M
BARCIA, JAMES, 103 104 105 106 107, H, MI, M
WYNN, ALBERT, 103 104 105 106 107 108 109 110, H, MD, M
STUPAK, BART, 103 104 105 106 107 108 109 110 111, H, MI, M
COVERDELL, PAUL, 103 104 105 106, S, GA, M
KNOLLENBERG, JOSEPH, 103 104 105 106 107 108 109 110, H, MI, M
MEEK, CARRIE, 103 104 105 106 107, H, FL, F
KLEIN, HERBERT, 103, H, NJ, M
MENENDEZ, ROBERT, 103 104 105 106 107 108 109 110 111 112 113 114, H, NJ, M
MCKINNEY, CYNTHIA, 103 104 105 106 107 109, H, GA, F
POMBO, RICHARD, 103 104 105 106 107 108 109, H, CA, M
GUTIERREZ, LUIS, 103 104 105 106 107 108 109 110 111 112 113 114, H, IL, M
DIAZ-BALART, LINCOLN, 103 104 105 106 107 108 109 110 111, H, FL, M
FEINGOLD, RUSSELL, 103 104 105 106 107 108 109 110 111, S, WI, M
MOSELEY BRAUN, CAROL, 103 104 105, S, IL, F
BENNETT, ROBERT, 103 104 105 106 107 108 109 110 111, S, UT, M
CLYBURN, JAMES, 103 104 105 106 107 108 109 110 111 112 113 114, H, SC, M
TUCKER, WALTER, 103 104, H, CA, M
BISHOP, SANFORD, 103 104 105 106 107 108 109 110 111 112 113 114, H, GA, M
BONILLA, HENRY, 103 104 105 106 107 108 109, H, TX, M
HOLDEN, TIM, 103 104 105 106 107 108 109 110 111 112, H, PA, M
HOKE, MARTIN, 103 104, H, OH, M
KINGSTON, JACK, 103 104 105 106 107 108 109 110 111 112 113, H, GA, M
GRAMS, ROD, 103 104 105 106, H, MN, M
QUINN, JACK, 103 104 105 106 107 108, H, NY, M
FOWLER, TILLIE, 103 104 105 106, H, FL, F
KRUEGER, ROBERT, 103, S, TX, M
MURRAY, PATTY, 103 104 105 106 107 108 109 110 111 112 113 114, S, WA, F
BYRNE, LESLIE, 103, H, VA, F
KREIDLER, MYRON, 103, H, WA, M
ROMERO-BARCELO, CARLOS, 103 104 105 106, H, PR, M
FEINSTEIN, DIANNE, 103 104 105 106 107 108 109 110 111 112 113 114, S, CA, F
KING, PETER, 103 104 105 106 107 108 109 110 111 112 113 114, H, NY, M
MARGOLIES-MEZVINSKY, MARJORIE, 103, H, PA, F
ESHOO, ANNA, 103 104 105 106 107 108 109 110 111 112 113 114, H, CA, F
WOOLSEY, LYNN, 103 104 105 106 107 108 109 110 111 112, H, CA, F
SHEPHERD, KAREN, 103, H, UT, F
PRYCE, DEBORAH, 103 104 105 106 107 108 109 110, H, OH, F
SCHENK, LYNN, 103, H, CA, F
MALONEY, CAROLYN, 103 104 105 106 107 108 109 110 111 112 113 114, H, NY, F
HOEKSTRA, PETER, 103 104 105 106 107 108 109 110 111, H, MI, M
BECERRA, XAVIER, 103 104 105 106 107 108 109 110 111 112 113 114, H, CA, M
GREEN, GENE, 103 104 105 106 107 108 109 110 111 112 113 114, H, TX, M
DUNN, JENNIFER, 103 104 105 106 107 108, H, WA, F
KLINK, RON, 103 104 105 106, H, PA, M
MICA, JOHN, 103 104 105 106 107 108 109 110 111 112 113 114, H, FL, M
BUYER, STEPHEN, 103 104 105 106 107 108 109 110 111, H, IN, M
SCOTT, ROBERT, 103 104 105 106 107 108 109 110 111 112 113 114, H, VA, M
HARMAN, JANE, 103 104 105 107 108 109 110 111 112, H, CA, F
MEEHAN, MARTIN, 103 104 105 106 107 108 109 110, H, MA, M
POMEROY, EARL, 103 104 105 106 107 108 109 110 111, H, ND, M
ROYBAL-ALLARD, LUCILLE, 103 104 105 106 107 108 109 110 111 112 113 114, H, CA, F
CALVERT, KEN, 103 104 105 106 107 108 109 110 111 112 113 114, H, CA, M
NADLER, JERROLD, 103 104 105 106 107 108 109 110 111 112 113 114, H, NY, M
MCKEON, HOWARD, 103 104 105 106 107 108 109 110 111 112 113, H, CA, M
LEVY, DAVID, 103, H, NY, M
RUSH, BOBBY, 103 104 105 106 107 108 109 110 111 112 113 114, H, IL, M
BLUTE, PETER, 103 104, H, MA, M
HUTCHINSON, TIM, 103 104 105 106 107, H, AR, M
HILLIARD, EARL, 103 104 105 106 107, H, AL, M
DANNER, PAT, 103 104 105 106, H, MO, F
COPPERSMITH, SAMUEL, 103, H, AZ, M
FINGERHUT, ERIC, 103, H, OH, M
CANADY, CHARLES, 103 104 105 106, H, FL, M
THURMAN, KAREN, 103 104 105 106 107, H, FL, F
WATT, MELVIN, 103 104 105 106 107 108 109 110 111 112 113, H, NC, M
LAZIO, RICK, 103 104 105 106, H, NY, M
TORKILDSEN, PETER, 103 104, H, MA, M
FURSE, ELIZABETH, 103 104 105, H, OR, F
BARLOW, THOMAS, 103, H, KY, M
STRICKLAND, TED, 103 105 106 107 108 109, H, OH, M
INGLIS, BOB, 103 104 105 109 110 111, H, SC, M
MATHEWS, HARLAN, 103, S, TN, M
MINGE, DAVID, 103 104 105 106, H, MN, M
DICKEY, JAY, 103 104 105 106, H, AR, M
HAMBURG, DANIEL, 103, H, CA, M
FILNER, BOB, 103 104 105 106 107 108 109 110 111 112, H, CA, M
CASTLE, MICHAEL, 103 104 105 106 107 108 109 110 111, H, DE, M
MANN, DAVID, 103, H, OH, M
TALENT, JAMES, 103 104 105 106 108 109, H, MO, M
GREENWOOD, JAMES, 103 104 105 106 107 108, H, PA, M
EVERETT, TERRY, 103 104 105 106 107 108 109 110, H, AL, M
GOODLATTE, BOB, 103 104 105 106 107 108 109 110 111 112 113 114, H, VA, M
FAIRCLOTH, DUNCAN, 103 104 105, S, NC, M
TEJEDA, FRANK, 103 104 105, H, TX, M
DEAL, NATHAN, 103 104 105 106 107 108 109 110 111, H, GA, M
INSLEE, JAY, 103 106 107 108 109 110 111 112, H, WA, M
HASTINGS, ALCEE, 103 104 105 106 107 108 109 110 111 112 113 114, H, FL, M
PORTMAN, ROBERT, 103 104 105 106 107 108 109 112 113 114, H, OH, M
ROYCE, EDWARD, 103 104 105 106 107 108 109 110 111 112 113 114, H, CA, M
BARCA, PETER, 103, H, WI, M
FARR, SAM, 103 104 105 106 107 108 109 110 111 112 113 114, H, CA, M
HUTCHISON, KAY, 103 104 105 106 107 108 109 110 111 112, S, TX, F
BAESLER, HENRY, 103 104 105, H, KY, M
MCHUGH, JOHN, 103 104 105 106 107 108 109 110 111, H, NY, M
EHLERS, VERNON, 103 104 105 106 107 108 109 110 111, H, MI, M
LUCAS, FRANK, 103 104 105 106 107 108 109 110 111 112 113 114, H, OK, M
LARGENT, STEVE, 103 104 105 106 107, H, OK, M
THOMPSON, BENNIE, 103 104 105 106 107 108 109 110 111 112 113 114, H, MS, M
THOMPSON, FRED, 103 104 105 106 107, S, TN, M
COLLINS, MICHAEL, 103 104 105 106 107 108, H, GA, M
BROWN, CORRINE, 103 104 105 106 107 108 109 110 111 112 113 114, H, FL, F
ENGLISH, KARAN, 103, H, AZ, F
SMITH, NICK, 103 104 105 106 107 108, H, MI, M
BARRETT, THOMAS, 103 104 105 106 107, H, WI, M
FIELDS, CLEO, 103 104, H, LA, M
MILLER, DAN, 103 104 105 106 107, H, FL, M
BAKER, WILLIAM, 103 104, H, CA, M
BROWN, SHERROD, 103 104 105 106 107 108 109 110 111 112 113 114, H, OH, M
FRANKS, BOB, 103 104 105 106, H, NJ, M
JOHNSON, CLETE, 103, H, GA, M
LEWIS, RON, 103 104 105 106 107 108 109 110, H, KY, M
JOHNSON, EDDIE, 103 104 105 106 107 108 109 110 111 112 113 114, H, TX, F
JACKSON LEE, SHEILA, 104 105 106 107 108 109 110 111 112 113 114, H, TX, F
DOGGETT, LLOYD, 104 105 106 107 108 109 110 111 112 113 114, H, TX, M
MASCARA, FRANK, 104 105 106 107, H, PA, M
CHRISTENSEN, JON, 104 105, H, NE, M
MCCARTHY, KAREN, 104 105 106 107 108, H, MO, F
CHRYSLER, DICK, 104, H, MI, M
NEUMANN, MARK, 104 105, H, WI, M
DAVIS, THOMAS, 104 105 106 107 108 109 110, H, VA, M
FATTAH, CHAKA, 104 105 106 107 108 109 110 111 112 113 114, H, PA, M
WHITFIELD, ED, 104 105 106 107 108 109 110 111 112 113 114, H, KY, M
BENTSEN, KEN, 104 105 106 107, H, TX, M
CUBIN, BARBARA, 104 105 106 107 108 109 110, H, WY, F
SANFORD, MARSHALL, 104 105 106 113 114, H, SC, M
FUNDERBURK, DAVID, 104, H, NC, M
NETHERCUTT, GEORGE, 104 105 106 107 108, H, WA, M
SEASTRAND, ANDREA, 104, H, CA, F
RADANOVICH, GEORGE, 104 105 106 107 108 109 110 111, H, CA, M
CHENOWETH-HAGE, HELEN, 104 105 106, H, ID, F
CREMEANS, FRANK, 104, H, OH, M
LINCOLN, BLANCHE, 104 106 107 108 109 110 111, H, AR, F
NEY, ROBERT, 104 105 106 107 108 109, H, OH, M
FOX, JON, 104 105, H, PA, M
TATE, RANDY, 104, H, WA, M
SHADEGG, JOHN, 104 105 106 107 108 109 110 111, H, AZ, M
BROWNBACK, SAMUEL, 104 105 106 107 108 109 110 111, H, KS, M
GUTKNECHT, GILBERT, 104 105 106 107 108 109, H, MN, M
FOLEY, MARK, 104 105 106 107 108 109, H, FL, M
WELLER, GERALD, 104 105 106 107 108 109 110, H, IL, M
SALMON, MATT, 104 105 106 113 114, H, AZ, M
RIVERS, LYNN, 104 105 106 107, H, MI, F
CHABOT, STEVE, 104 105 106 107 108 109 110 112 113 114, H, OH, M
MCINTOSH, DAVID, 104 105 106, H, IN, M
FRISA, DAN, 104, H, NY, M
STOCKMAN, STEVE, 104 113, H, TX, M
GANSKE, GREG, 104 105 106 107, H, IA, M
COBURN, THOMAS, 104 105 106 109 110 111 112 113, H, OK, M
HILLEARY, VAN, 104 105 106 107, H, TN, M
HEINEMAN, FRED, 104, H, NC, M
ABRAHAM, SPENCER, 104 105 106, S, MI, M
TIAHRT, TODD, 104 105 106 107 108 109 110 111, H, KS, M
HAYWORTH, JOHN, 104 105 106 107 108 109, H, AZ, M
LONGLEY, JAMES, 104, H, ME, M
BURR, RICHARD, 104 105 106 107 108 109 110 111 112 113 114, H, NC, M
BUNN, JIM, 104, H, OR, M
SCARBOROUGH, JOE, 104 105 106 107, H, FL, M
WATTS, J.C., 104 105 106 107, H, OK, M
BARR, BOB, 104 105 106 107, H, GA, M
CHAMBLISS, SAXBY, 104 105 106 107 108 109 110 111 112 113, H, GA, M
MARTINI, WILLIAM, 104, H, NJ, M
NORWOOD, CHARLES, 104 105 106 107 108 109 110, H, GA, M
LATHAM, TOM, 104 105 106 107 108 109 110 111 112 113, H, IA, M
LAHOOD, RAY, 104 105 106 107 108 109 110, H, IL, M
FRIST, WILLIAM, 104 105 106 107 108 109, S, TN, M
MYRICK, SUE, 104 105 106 107 108 109 110 111 112, H, NC, F
GREENE WALDHOLTZ, ENID, 104, H, UT, F
COOLEY, WES, 104, H, OR, M
BASS, CHARLES, 104 105 106 107 108 109 112, H, NH, M
BALDACCI, JOHN, 104 105 106 107, H, ME, M
DOYLE, MICHAEL, 104 105 106 107 108 109 110 111 112 113 114, H, PA, M
ASHCROFT, JOHN, 104 105 106, S, MO, M
LOFGREN, ZOE, 104 105 106 107 108 109 110 111 112 113 114, H, CA, F
WICKER, ROGER, 104 105 106 107 108 109 110 111 112 113 114, H, MS, M
WARD, MICHAEL, 104, H, KY, M
FRELINGHUYSEN, RODNEY, 104 105 106 107 108 109 110 111 112 113 114, H, NJ, M
METCALF, JACK, 104 105 106, H, WA, M
FORBES, MICHAEL, 104 105 106, H, NY, M
LUTHER, WILLIAM, 104 105 106 107, H, MN, M
FLANAGAN, MICHAEL, 104, H, IL, M
WAMP, ZACH, 104 105 106 107 108 109 110 111, H, TN, M
LOBIONDO, FRANK, 104 105 106 107 108 109 110 111 112 113 114, H, NJ, M
ENGLISH, PHILIP, 104 105 106 107 108 109 110, H, PA, M
SOUDER, MARK, 104 105 106 107 108 109 110 111, H, IN, M
BONO, SONNY, 104 105, H, CA, M
LATOURETTE, STEVEN, 104 105 106 107 108 109 110 111 112, H, OH, M
BILBRAY, BRIAN, 104 105 106 109 110 111 112, H, CA, M
HOSTETTLER, JOHN, 104 105 106 107 108 109, H, IN, M
KELLY, SUE, 104 105 106 107 108 109, H, NY, F
ENSIGN, JOHN, 104 105 107 108 109 110 111 112, H, NV, M
THORNBERRY, MAC, 104 105 106 107 108 109 110 111 112 113 114, H, TX, M
EHRLICH, ROBERT, 104 105 106 107, H, MD, M
JACKSON, JESSE, 104 105 106 107 108 109 110 111 112, H, IL, M
FRAZER, VICTOR, 104, H, VI, M
MILLENDER-MCDONALD, JUANITA, 104 105 106 107 108 109 110, H, CA, F
CUMMINGS, ELIJAH, 104 105 106 107 108 109 110 111 112 113 114, H, MD, M
BLUMENAUER, EARL, 104 105 106 107 108 109 110 111 112 113 114, H, OR, M
FRAHM, SHEILA, 104, S, KS, F
GRAHAM, LINDSEY, 104 105 106 107 108 109 110 111 112 113 114, H, SC, M
SMITH, LINDA, 104 105, H, WA, F
WELDON, DAVID, 104 105 106 107 108 109 110, H, FL, M
HASTINGS, DOC, 104 105 106 107 108 109 110 111 112 113, H, WA, M
BRYANT, ED, 104 105 106 107, H, TN, M
KENNEDY, PATRICK, 104 105 106 107 108 109 110 111, H, RI, M
ENZI, MICHAEL, 105 106 107 108 109 110 111 112 113 114, S, WY, M
HAGEL, CHARLES, 105 106 107 108 109 110, S, NE, M
LANDRIEU, MARY, 105 106 107 108 109 110 111 112 113, S, LA, F
KIND, RON, 105 106 107 108 109 110 111 112 113 114, H, WI, M
HINOJOSA, RUBEN, 105 106 107 108 109 110 111 112 113 114, H, TX, M
THUNE, JOHN, 105 106 107 109 110 111 112 113 114, H, SD, M
ROGAN, JAMES, 105 106, H, CA, M
DEGETTE, DIANA, 105 106 107 108 109 110 111 112 113 114, H, CO, F
MCGOVERN, JAMES, 105 106 107 108 109 110 111 112 113 114, H, MA, M
LAMPSON, NICHOLAS, 105 106 107 108 110, H, TX, M
TURNER, JAMES, 105 106 107 108, H, TX, M
REYES, SILVESTRE, 105 106 107 108 109 110 111 112, H, TX, M
SANDLIN, MAX, 105 106 107 108, H, TX, M
STABENOW, DEBBIE, 105 106 107 108 109 110 111 112 113 114, H, MI, F
BOSWELL, LEONARD, 105 106 107 108 109 110 111 112, H, IA, M
SNOWBARGER, VINCENT, 105, H, KS, M
NORTHUP, ANNE, 105 106 107 108 109, H, KY, F
PAPPAS, MICHAEL, 105, H, NJ, M
MCINTYRE, MIKE, 105 106 107 108 109 110 111 112 113, H, NC, M
KUCINICH, DENNIS, 105 106 107 108 109 110 111 112, H, OH, M
DELAHUNT, WILLIAM, 105 106 107 108 109 110 111, H, MA, M
CARSON, JULIA, 105 106 107 108 109 110, H, IN, F
ROTHMAN, STEVEN, 105 106 107 108 109 110 111 112, H, NJ, M
BOYD, ALLEN, 105 106 107 108 109 110 111, H, FL, M
PITTS, JOSEPH, 105 106 107 108 109 110 111 112 113 114, H, PA, M
HULSHOF, KENNY, 105 106 107 108 109 110, H, MO, M
COOK, MERRILL, 105 106, H, UT, M
KILPATRICK, CAROLYN, 105 106 107 108 109 110 111, H, MI, F
SCHAFFER, BOB, 105 106 107, H, CO, M
BLUNT, ROY, 105 106 107 108 109 110 111 112 113 114, H, MO, M
GIBBONS, JAMES, 105 106 107 108 109, H, NV, M
PICKERING, CHARLES, 105 106 107 108 109 110, H, MS, M
BLAGOJEVICH, ROD, 105 106 107, H, IL, M
HOOLEY, DARLENE, 105 106 107 108 109 110, H, OR, F
ALLEN, THOMAS, 105 106 107 108 109 110, H, ME, M
EMERSON, JO ANN, 105 106 107 108 109 110 111 112, H, MO, F
ADERHOLT, ROBERT, 105 106 107 108 109 110 111 112 113 114, H, AL, M
SHERMAN, BRAD, 105 106 107 108 109 110 111 112 113 114, H, CA, M
SHIMKUS, JOHN, 105 106 107 108 109 110 111 112 113 114, H, IL, M
CLELAND, J., 105 106 107, S, GA, M
WEYGAND, ROBERT, 105 106, H, RI, M
ETHERIDGE, BOB, 105 106 107 108 109 110 111, H, NC, M
HILL, RICK, 105 106, H, MT, M
RILEY, BOB, 105 106 107, H, AL, M
COOKSEY, JOHN, 105 106 107, H, LA, M
GRANGER, KAY, 105 106 107 108 109 110 111 112 113 114, H, TX, F
TAUSCHER, ELLEN, 105 106 107 108 109 110 111, H, CA, F
RYUN, JIM, 105 106 107 108 109, H, KS, M
CANNON, CHRISTOPHER, 105 106 107 108 109 110, H, UT, M
SANCHEZ, LORETTA, 105 106 107 108 109 110 111 112 113 114, H, CA, F
PEASE, EDWARD, 105 106, H, IN, M
SUNUNU, JOHN, 105 106 107 108 109 110, H, NH, M
PASCRELL, BILL, 105 106 107 108 109 110 111 112 113 114, H, NJ, M
WEXLER, ROBERT, 105 106 107 108 109 110 111, H, FL, M
TIERNEY, JOHN, 105 106 107 108 109 110 111 112 113, H, MA, M
RODRIGUEZ, CIRO, 105 106 107 108 110 111, H, TX, M
LEE, BARBARA, 105 106 107 108 109 110 111 113 114, H, CA, F
JENKINS, WILLIAM, 105 106 107 108 109, H, TN, M
GOODE, VIRGIL, 105 106 107 108 109 110, H, VA, M
REDMOND, WILLIAM, 105, H, NM, M
JOHN, CHRISTOPHER, 105 106 107 108, H, LA, M
SNYDER, VICTOR, 105 106 107 108 109 110 111, H, AR, M
BERRY, ROBERT, 105 106 107 108 109 110 111, H, AR, M
FOSSELLA, VITO, 105 106 107 108 109 110, H, NY, M
WILSON, HEATHER, 105 106 107 108 109 110, H, NM, F
MEEKS, GREGORY, 105 106 107 108 109 110 111 112 113 114, H, NY, M
SMITH, GORDON, 105 106 107 108 109 110, S, OR, M
SMITH, ADAM, 105 106 107 108 109 110 111 112 113 114, H, WA, M
CHRISTENSEN, DONNA, 105 106 107 108 109 110 111 112 113, H, VI, F
SESSIONS, JEFFERSON, 105 106 107 108 109 110 111 112 113 114, S, AL, M
COLLINS, SUSAN, 105 106 107 108 109 110 111 112 113 114, S, ME, F
SESSIONS, PETE, 105 106 107 108 109 110 111 112 113 114, H, TX, M
HUTCHINSON, ASA, 105 106 107, H, AR, M
CAPPS, WALTER, 105, H, CA, M
MALONEY, JAMES, 105 106 107, H, CT, M
CAPPS, LOIS, 105 106 107 108 109 110 111 112 113 114, H, CA, F
MCCARTHY, CAROLYN, 105 106 107 108 109 110 111 112 113, H, NY, F
DAVIS, DANNY, 105 106 107 108 109 110 111 112 113 114, H, IL, M
PETERSON, JOHN, 105 106 107 108 109 110, H, PA, M
DAVIS, JAMES, 105 106 107 108 109, H, FL, M
MORAN, JERRY, 105 106 107 108 109 110 111 112 113 114, H, KS, M
JOHNSON, JAY, 105, H, WI, M
BRADY, KEVIN, 105 106 107 108 109 110 111 112 113 114, H, TX, M
BRADY, ROBERT, 105 106 107 108 109 110 111 112 113 114, H, PA, M
HOLT, RUSH, 106 107 108 109 110 111 112 113, H, NJ, M
WEINER, ANTHONY, 106 107 108 109 110 111 112, H, NY, M
VOINOVICH, GEORGE, 106 107 108 109 110 111, S, OH, M
FITZGERALD, PETER, 106 107 108, S, IL, M
TANCREDO, THOMAS, 106 107 108 109 110, H, CO, M
MOORE, DENNIS, 106 107 108 109 110 111, H, KS, M
HAYES, ROBIN, 106 107 108 109 110, H, NC, M
SHOWS, RONNIE, 106 107, H, MS, M
CROWLEY, JOSEPH, 106 107 108 109 110 111 112 113 114, H, NY, M
SCHAKOWSKY, JANICE, 106 107 108 109 110 111 112 113 114, H, IL, F
BAIRD, BRIAN, 106 107 108 109 110 111, H, WA, M
NAPOLITANO, GRACE, 106 107 108 109 110 111 112 113 114, H, CA, F
BAYH, EVAN, 106 107 108 109 110 111, S, IN, M
REYNOLDS, THOMAS, 106 107 108 109 110, H, NY, M
SWEENEY, JOHN, 106 107 108 109, H, NY, M
TERRY, LEE, 106 107 108 109 110 111 112 113, H, NE, M
LARSON, JOHN, 106 107 108 109 110 111 112 113 114, H, CT, M
BERKLEY, SHELLEY, 106 107 108 109 110 111 112, H, NV, F
OSE, DOUG, 106 107 108, H, CA, M
WALDEN, GREG, 106 107 108 109 110 111 112 113 114, H, OR, M
BIGGERT, JUDY, 106 107 108 109 110 111 112, H, IL, F
BALDWIN, TAMMY, 106 107 108 109 110 111 112 113 114, H, WI, F
HOEFFEL, JOSEPH, 106 107 108, H, PA, M
ISAKSON, JOHN, 106 107 108 109 110 111 112 113 114, H, GA, M
RYAN, PAUL, 106 107 108 109 110 111 112 113 114, H, WI, M
FLETCHER, ERNEST, 106 107 108, H, KY, M
DEMINT, JIM, 106 107 108 109 110 111 112, H, SC, M
SHERWOOD, DONALD, 106 107 108 109, H, PA, M
PHELPS, DAVID, 106 107, H, IL, M
KUYKENDALL, STEVEN, 106, H, CA, M
GONZALEZ, CHARLES, 106 107 108 109 110 111 112, H, TX, M
TOOMEY, PATRICK, 106 107 108 112 113 114, H, PA, M
CAPUANO, MICHAEL, 106 107 108 109 110 111 112 113 114, H, MA, M
VITTER, DAVID, 106 107 108 109 110 111 112 113 114, H, LA, M
SIMPSON, MICHAEL, 106 107 108 109 110 111 112 113 114, H, ID, M
BACA, JOE, 106 107 108 109 110 111 112, H, CA, M
LUCAS, KENNETH, 106 107 108, H, KY, M
MILLER, GARY, 106 107 108 109 110 111 112 113, H, CA, M
EDWARDS, JOHN, 106 107 108, S, NC, M
MILLER, ZELL, 106 107 108, S, GA, M
JONES, STEPHANIE, 106 107 108 109 110, H, OH, F
UDALL, TOM, 106 107 108 109 110 111 112 113 114, H, NM, M
UDALL, MARK, 106 107 108 109 110 111 112 113, H, CO, M
HILL, BARON, 106 107 108 110 111, H, IN, M
GREEN, MARK, 106 107 108 109, H, WI, M
THOMPSON, MIKE, 106 107 108 109 110 111 112 113 114, H, CA, M
CORZINE, JON, 107 108 109, S, NJ, M
OSBORNE, THOMAS, 107 108 109, H, NE, M
REHBERG, DENNIS, 107 108 109 110 111 112, H, MT, M
GRUCCI, FELIX, 107, H, NY, M
HART, MELISSA, 107 108 109, H, PA, F
FERGUSON, MICHAEL, 107 108 109 110, H, NJ, M
CANTOR, ERIC, 107 108 109 110 111 112 113, H, VA, M
ISRAEL, STEVE, 107 108 109 110 111 112 113 114, H, NY, M
SOLIS, HILDA, 107 108 109 110, H, CA, F
CLAY, WM., 107 108 109 110 111 112 113 114, H, MO, M
SCHIFF, ADAM, 107 108 109 110 111 112 113 114, H, CA, M
LARSEN, RICK, 107 108 109 110 111 112 113 114, H, WA, M
CARNAHAN, JEAN, 107, S, MO, F
PENCE, MIKE, 107 108 109 110 111 112, H, IN, M
PLATTS, TODD, 107 108 109 110 111 112, H, PA, M
OTTER, C.L., 107 108 109, H, ID, M
KERNS, BRIAN, 107, H, IN, M
TIBERI, PATRICK, 107 108 109 110 111 112 113 114, H, OH, M
CAPITO, SHELLEY, 107 108 109 110 111 112 113 114, H, WV, F
CHAFEE, LINCOLN, 107 108 109, S, RI, M
CLINTON, HILLARY, 107 108 109 110 111, S, NY, F
KIRK, MARK, 107 108 109 110 111 112 113 114, H, IL, M
GRAVES, SAM, 107 108 109 110 111 112 113 114, H, MO, M
SCHROCK, EDWARD, 107 108, H, VA, M
ROSS, MIKE, 107 108 109 110 111 112, H, AR, M
CRENSHAW, ANDER, 107 108 109 110 111 112 113 114, H, FL, M
SIMMONS, ROBERT, 107 108 109, H, CT, M
PUTNAM, ADAM, 107 108 109 110 111, H, FL, M
LANGEVIN, JAMES, 107 108 109 110 111 112 113 114, H, RI, M
MATHESON, JIM, 107 108 109 110 111 112 113, H, UT, M
DAYTON, MARK, 107 108 109, S, MN, M
MCCOLLUM, BETTY, 107 108 109 110 111 112 113 114, H, MN, F
FLAKE, JEFF, 107 108 109 110 111 112 113 114, H, AZ, M
ACEVEDO-VILA, ANIBAL, 107 108, H, PR, M
CULBERSON, JOHN, 107 108 109 110 111 112 113 114, H, TX, M
HONDA, MICHAEL, 107 108 109 110 111 112 113 114, H, CA, M
KELLER, RIC, 107 108 109 110, H, FL, M
ISSA, DARRELL, 107 108 109 110 111 112 113 114, H, CA, M
AKIN, W., 107 108 109 110 111 112, H, MO, M
WATSON, DIANE, 107 108 109 110 111, H, CA, F
FORBES, J., 107 108 109 110 111 112 113 114, H, VA, M
LYNCH, STEPHEN, 107 108 109 110 111 112 113 114, H, MA, M
BOOZMAN, JOHN, 107 108 109 110 111 112 113 114, H, AR, M
SULLIVAN, JOHN, 107 108 109 110 111 112, H, OK, M
BARKLEY, DEAN, 107, S, MN, M
DAVIS, JO ANN, 107 108 109 110, H, VA, F
MILLER, JEFF, 107 108 109 110 111 112 113 114, H, FL, M
CARSON, BRAD, 107 108, H, OK, M
WILSON, JOE, 107 108 109 110 111 112 113 114, H, SC, M
DAVIS, SUSAN, 107 108 109 110 111 112 113 114, H, CA, F
NELSON, BEN, 107 108 109 110 111 112, S, NE, M
BROWN, HENRY, 107 108 109 110 111, H, SC, M
KENNEDY, MARK, 107 108 109, H, MN, M
ROGERS, MIKE, 107 108 109 110 111 112 113 114, H, MI, M
JOHNSON, TIMOTHY, 107 108 109 110 111 112, H, IL, M
BROWN-WAITE, VIRGINIA, 108 109 110 111, H, FL, F
CASE, ED, 108 109, H, HI, M
MEEK, KENDRICK, 108 109 110 111, H, FL, M
BELL, CHRIS, 108, H, TX, M
RUPPERSBERGER, C., 108 109 110 111 112 113 114, H, MD, M
MURKOWSKI, LISA, 108 109 110 111 112 113 114, S, AK, F
COLEMAN, NORM, 108 109 110, S, MN, M
DOLE, ELIZABETH, 108 109 110, S, NC, F
MURPHY, TIM, 108 109 110 111 112 113 114, H, PA, M
MUSGRAVE, MARILYN, 108 109 110, H, CO, F
