GUINTA, FRANK C.	G000570
NOWAK, HENRY	N000163
GILLIBRAND, KIRSTEN E.	G000555
PEYSER, PETER A.	P000280
FORBES, MICHAEL P.	F000257
KINGSTON, JACK	K000220
JOHNSON, DON	J000120
MILLER, ZELL	M001141
GOLDWATER, BARRY, JR.	G000268
OLIN, JAMES R.	O000069
SARBANES, PAUL S.	S000064
TOOMEY, PAT	T000461
WRIGHT, JAMES C., JR.	W000763
MCKINNEY, CYNTHIA A.	M000523
HUNTER, DUNCAN	H000981
BACCHUS, JIM	B000008
CURBELO, CARLOS	C001107
CHENEY, DICK	C000344
TESTER, JON	T000464
CANNON, CHRIS	C000116
JOHNSON, HENRY C. "HANK," JR.	J000288
KERRY, JOHN F.	K000148
LOBIONDO, FRANK A.	L000554
BARRETT, BILL	B000179
KLECZKA, GERALD D.	K000259
BRYANT, ED	B000996
TURNER, JIM	T000424
LOWENTHAL, ALAN S.	L000579
HAYWORTH, NAN A. S.	H001054
CHOCOLA, CHRIS	C001052
CRAMER, ROBERT E. (BUD), JR.	C000868
SCHIFF, STEVEN	S000125
BURNS, CONRAD R.	B001126
KUCINICH, DENNIS J.	K000336
BILIRAKIS, MICHAEL	B000463
MORAN, JAMES P.	M000933
TERRY, LEE	T000459
WALSH, JOHN E.	W000818
METCALF, JACK	M000669
SARPALIUS, BILL	S000066
NAPOLITANO, GRACE F.	N000179
SMITH, PETER	S000601
LAHOOD, RAY	L000552
FENWICK, MILLICENT H.	F000078
VANDERGRIFF, TOMMY J.	V000026
ASHCROFT, JOHN	A000356
CALLAHAN, SONNY	C000052
FRANK, BARNEY	F000339
WILLIAMS, PAT	W000520
KILPATRICK, CAROLYN C.	K000180
DIXON, JULIAN C.	D000373
MOORE, W. HENSON	M000923
CLAYTON, EVA M.	C000494
TAUZIN, W. J. (BILLY)	T000058
PAYNE, DONALD M.	P000149
RICHMOND, FREDERICK W.	R000232
MUSGRAVE, MARILYN N.	M001152
BINGHAM, JONATHAN B.	B000472
BEDELL, BERKLEY W.	B000298
KAINE, TIM	K000384
ARMEY, RICHARD K.	A000217
BLAGOJEVICH, ROD R.	B000518
KOGOVSEK, RAY	K000304
JEPSEN, ROGER W.	J000101
ROE, ROBERT A.	R000383
GEKAS, GEORGE W.	G000121
HICE, JODY B.	H001071
SIMON, PAUL	S000423
BEAN, MELISSA L.	B001253
ROWLAND, JOHN G.	R000482
FAWELL, HARRIS W.	F000049
PORTMAN, ROB	P000449
ACEVEDO-VILA, ANIBAL	A000359
CRAWFORD, ERIC A. "RICK"	C001087
WELLER, JERRY	W000273
MATHEWS, HARLAN	M000236
NEGRETE MCLEOD, GLORIA	N000187
RUSSELL, STEVE	R000604
BLACK, DIANE	B001273
SMITH, ADAM	S000510
SAXTON, JIM	S000097
WILSON, HEATHER	W000789
GORTON, SLADE	G000333
LELAND, MICKEY	L000237
SUNUNU, JOHN E.	S001078
HARPER, GREGG	H001045
TSONGAS, PAUL E.	T000393
TILLIS, THOM	T000476
MOOLENAAR, JOHN R.	M001194
PITTENGER, ROBERT	P000606
MURTHA, JOHN P.	M001120
MCHALE, PAUL	M000466
TAUSCHER, ELLEN O.	T000057
DANFORTH, JOHN C.	D000030
MANTON, THOMAS J.	M000117
BARR, BOB	B000169
MRAZEK, ROBERT J.	M001057
NEUGEBAUER, RANDY	N000182
SMITH, NICK	S000597
PETERSON, JOHN E.	P000263
ROUSSELOT, JOHN H.	R000469
GEPHARDT, RICHARD A.	G000132
CRAVAACK, CHIP	C001086
BRUCE, TERRY L.	B000971
GORDON, BART	G000309
PEASE, DONALD J.	P000170
JORDAN, JIM	J000289
KENNEDY, PATRICK J.	K000113
GRAY, KENNETH J.	G000400
RATCLIFFE, JOHN	R000601
SWETT, DICK	S001113
LOWEY, NITA M.	L000480
HORTON, FRANK J.	H000797
MOFFETT, TOBY	M000839
HILL, J. FRENCH	H001072
CHAFEE, LINCOLN	C001040
CRANE, DANIEL B.	C000871
CROWLEY, JOSEPH	C001038
AMODEI, MARK E.	A000369
MARKS, MARC L.	M000136
MARTINEZ, MATTHEW G.	M000206
FITZPATRICK, MICHAEL G.	F000451
MCHUGH, MATTHEW F.	M000473
SCHAKOWSKY, JANICE D.	S001145
POCAN, MARK	P000607
POLIQUIN, BRUCE	P000611
FROST, MARTIN	F000392
FARENTHOLD, BLAKE	F000460
THOMPSON, BENNIE G.	T000193
HOUGHTON, AMO	H000814
KAGEN, STEVE	K000365
FRANKS, TRENT	F000448
WOLPE, HOWARD E.	W000682
HECK, DENNY	H001064
FALEOMAVAEGA, ENI F. H.	F000010
BACA, JOE	B001234
BARLOW, TOM	B000151
BROYHILL, JAMES T.	B000966
MILLER, GEORGE	M000725
MCMILLAN, J. ALEX	M000566
CAZAYOUX, DONALD J., JR.	C001073
LEVITAS, ELLIOTT H.	L000265
FLORIO, JAMES J.	F000215
YOUNG, DON	Y000033
NUSSLE, JIM	N000172
GIBBONS, JIM	G000152
BARNARD, DOUG, JR.	B000153
KNIGHT, STEPHEN	K000387
WALDEN, GREG	W000791
NIELSON, HOWARD C.	N000106
FILNER, BOB	F000116
BAIRD, BRIAN	B001229
MITCHELL, HARRY E.	M001167
BUTTERFIELD, G. K.	B001251
EMERY, DAVID F.	E000175
KILDEE, DANIEL T.	K000380
SCOTT, AUSTIN	S001189
MARTINI, WILLIAM J.	M000207
SCHWARTZ, ALLYSON Y.	S001162
SCHROCK, EDWARD L.	S001151
MALONEY, JAMES H.	M000090
HONDA, MICHAEL M.	H001034
REYNOLDS, MEL	R000178
CONNOLLY, GERALD E.	C001078
BOGGS, CORINNE C. (LINDY)	B000592
JOYCE, DAVID P.	J000295
PRYCE, DEBORAH	P000555
FRANKEL, LOIS	F000462
CAPPS, WALTER	C000134
RENZI, RICK	R000574
HOLLAND, KENNETH L.	H000719
MORRISON, SID	M000999
